Tag,DataType,Size,License,Downloads
healthcare,CSV,tiny,CC0,341
politics,CSV,small,Other,822
business,CSV,huge,Other,296
healthcare,CSV,tiny,CC0,1230
business,{}JSON,large,Other,342
languages,Other,large,CC4,170
popular culture,CSV,medium,Other,70
healthcare,CSV,tiny,CC0,590
politics,CSV,tiny,Other,482
business,CSV,medium,CC0,411
healthcare,CSV,medium,Other,783
united states,CSV,medium,CC0,198
politics,CSV,large,CC4,298
languages,CSV,medium,Other,209
linguistics,Other,tiny,Other,252
government agencies,Other,huge,CC0,244
news agencies,CSV,medium,Other,498
cities,CSV,medium,Other,463
healthcare,CSV,tiny,Other,410
food and drink,CSV,large,Other,622
healthcare,CSV,tiny,Other,712
news agencies,CSV,tiny,Other,538
healthcare,Other,large,Other,310
crime,CSV,large,ODbL,201
food and drink,CSV,large,CC0,685
linguistics,CSV,large,CC0,202
politics,CSV,small,CC0,237
united states,CSV,small,Other,480
cities,CSV,tiny,Other,599
india,CSV,small,CC4,558
internet,CSV,tiny,CC0,222
cities,CSV,tiny,Other,1567
popular culture,CSV,tiny,CC0,286
india,CSV,tiny,Other,900
healthcare,Other,small,ODbL,293
crime,CSV,small,CC0,163
government agencies,CSV,large,CC0,570
healthcare,Other,huge,Other,616
linguistics,CSV,tiny,Other,440
languages,{}JSON,medium,Other,411
united states,CSV,small,CC4,479
video games,CSV,medium,Other,740
linguistics,CSV,huge,CC4,264
languages,Other,medium,Other,271
crime,CSV,tiny,CC4,250
internet,Other,tiny,CC0,625
food and drink,CSV,tiny,Other,536
cities,CSV,medium,Other,568
crime,CSV,tiny,Other,602
video games,CSV,small,Other,106
food and drink,CSV,tiny,CC0,618
linguistics,CSV,medium,CC4,323
politics,CSV,small,Other,311
business,CSV,small,Other,908
politics,Other,medium,CC4,1030
politics,CSV,tiny,CC0,542
crime,CSV,medium,CC0,866
languages,CSV,small,CC4,271
crime,Other,medium,CC4,557
languages,CSV,tiny,CC0,199
languages,Other,huge,CC4,124
business,Other,large,CC0,74
government agencies,Other,huge,Other,226
politics,CSV,medium,CC0,371
cities,CSV,small,ODbL,463
finance,{}JSON,huge,CC0,526
india,CSV,large,CC4,128
government agencies,CSV,tiny,CC0,123
india,CSV,small,CC4,908
crime,CSV,medium,ODbL,594
linguistics,CSV,small,Other,128
languages,Other,large,Other,140
languages,{}JSON,large,CC4,100
internet,CSV,medium,CC4,619
food and drink,CSV,tiny,Other,1246
cities,CSV,medium,Other,234
politics,Other,medium,Other,306
business,CSV,medium,Other,643
crime,CSV,large,CC0,228
linguistics,CSV,small,CC0,344
